Analysis Data Row,Client,Product Group,CCY Group,Sector,Region,Size,Buy/Sell,Right_Region,Region Key,Right_Product Group,Product Key
2,68,Swap,LATAM,Bank,AMERICAS,92095496.6251977,1,AMERICAS,1,Swap,2
8,403,Swap,OTHER,Real Money,AMERICAS,44565062.8202637,1,AMERICAS,1,Swap,2
13,668,Swap,G10,Bank,AMERICAS,77661745.9659599,1,AMERICAS,1,Swap,2
17,796,Swap,LATAM,Bank,AMERICAS,63712711.3384272,-1,AMERICAS,1,Swap,2
25,68,Swap,G10,Real Money,AMERICAS,92095496.6251977,1,AMERICAS,1,Swap,2
31,889,Swap,OTHER,Real Money,AMERICAS,44565062.8202637,1,AMERICAS,1,Swap,2
38,736,Swap,G10,Hedge Fund,AMERICAS,7540158.25773429,1,AMERICAS,1,Swap,2
55,552,Swap,OTHER,Hedge Fund,AMERICAS,106996969.386239,1,AMERICAS,1,Swap,2
66,997,Swap,G10,Hedge Fund,AMERICAS,148233747.779276,1,AMERICAS,1,Swap,2
71,1073,Swap,LATAM,Hedge Fund,AMERICAS,166977737.957929,1,AMERICAS,1,Swap,2
72,1,Swap,OTHER,Real Money,AMERICAS,170726535.99366,1,AMERICAS,1,Swap,2
77,323,Swap,G10,Bank,AMERICAS,74601207.2795048,1,AMERICAS,1,Swap,2
78,199,Swap,OTHER,Hedge Fund,AMERICAS,32732092.0634624,1,AMERICAS,1,Swap,2
