Analysis Data Row,Client,Product Group,CCY Group,Sector,Region,Size,Buy/Sell,Right_Region,Region Key,Right_Product Group,Product Key
1,1,Spot,OTHER,Bank,AMERICAS,98063673.2963549,1,AMERICAS,1,Spot,1
6,315,Spot,LATAM,Bank,AMERICAS,70777456.6912632,1,AMERICAS,1,Spot,1
7,323,Spot,LATAM,Hedge Fund,AMERICAS,88022499.9776014,1,AMERICAS,1,Spot,1
24,1,Spot,G10,Hedge Fund,AMERICAS,44565062.8202637,1,AMERICAS,1,Spot,1
29,772,Spot,OTHER,Bank,AMERICAS,70777456.6912632,1,AMERICAS,1,Spot,1
30,796,Spot,G10,Hedge Fund,AMERICAS,88022499.9776014,1,AMERICAS,1,Spot,1
32,962,Spot,G10,Bank,AMERICAS,25134049.7363391,1,AMERICAS,1,Spot,1
35,598,Spot,OTHER,Bank,AMERICAS,57443741.2002105,1,AMERICAS,1,Spot,1
36,668,Spot,LATAM,Real Money,AMERICAS,72462523.4096128,-1,AMERICAS,1,Spot,1
45,453,Spot,G10,Bank,AMERICAS,32732092.0634624,1,AMERICAS,1,Spot,1
50,315,Spot,G10,Bank,AMERICAS,88252979.2075853,1,AMERICAS,1,Spot,1
60,719,Spot,G10,Bank,AMERICAS,125740959.564892,-1,AMERICAS,1,Spot,1
61,736,Spot,LATAM,Hedge Fund,AMERICAS,129489757.600623,-1,AMERICAS,1,Spot,1
65,962,Spot,OTHER,Bank,AMERICAS,144484949.743545,1,AMERICAS,1,Spot,1
68,997,Spot,G10,Bank,AMERICAS,155731343.850737,1,AMERICAS,1,Spot,1
